COND_ID	DRUG_ID	BETA_HAT	SE_BETA_HAT
500000205	600000003	0.6590057	0.1846031
500000205	600000004	0.2811514	0.6457035
500000205	600000005	0.4582196	0.2011542
500000205	600000006	0.4371301	0.2653226
500000205	600000007	-1.071201	0.6049736
500000205	600000008	0.1673271	0.4606703
500000205	600000009	0.7868633	0.2290832
500000205	600000010	0.4076802	0.4277898
500000401	600000001	0.0632802	0.04391027
500000401	600000002	-0.4621533	0.7423335
500000401	600000003	0.05576102	0.05782696
500000401	600000004	0.05729167	0.1416004
500000401	600000005	-0.1562570	0.05242999
500000401	600000006	0.2805744	0.04591825
500000401	600000007	-0.4533215	0.1517406
500000401	600000008	-0.2280917	0.08767027
500000401	600000009	-0.1377325	0.09843611
500000401	600000010	0.3517227	0.07469742
500000402	600000001	-0.2169127	0.1497274
500000402	600000003	-0.1358114	0.2195240
500000402	600000004	1.115294	0.4577679
500000402	600000005	-0.3972146	0.1838862
500000402	600000006	0.2661009	0.1521448
500000402	600000007	-2.500135	1.178967
500000402	600000008	-0.4616482	0.3125942
500000402	600000009	-0.06089787	0.3606682
500000402	600000010	0.2035351	0.2751999
500000403	600000001	0.1382922	0.0686546
500000403	600000002	0.7085689	0.990223
500000403	600000003	0.3931033	0.08533154
500000403	600000004	-0.2006495	0.2409110
500000403	600000005	0.2412925	0.0817464
500000403	600000006	0.3505749	0.07625297
500000403	600000007	-0.02563920	0.2174714
500000403	600000008	0.09711806	0.1334430
500000403	600000009	0.3281322	0.1428266
500000403	600000010	0.465268	0.1328825
500000404	600000001	0.0547732	0.04404181
500000404	600000002	-0.4627582	0.7421472
500000404	600000003	0.05273841	0.05821067
500000404	600000004	0.0846844	0.1427878
500000404	600000005	-0.1512362	0.05266966
500000404	600000006	0.2848063	0.04611336
500000404	600000007	-0.4723497	0.153638
500000404	600000008	-0.2333063	0.08820233
500000404	600000009	-0.1395509	0.09867435
500000404	600000010	0.345597	0.07506969
500000601	600000001	-0.1500195	0.1375855
500000601	600000003	-0.06883564	0.1295895
500000601	600000004	-0.2804262	0.2866099
500000601	600000005	0.02671164	0.1089635
500000601	600000006	0.1680213	0.1377353
500000601	600000007	0.2626112	0.1825697
500000601	600000008	-0.0859837	0.1715315
500000601	600000009	-0.2346728	0.252684
500000601	600000010	0.9546822	0.1409638
500000602	600000001	0.0630752	0.177604
500000602	600000003	-0.1093726	0.1679859
500000602	600000004	0.4316049	0.4318176
500000602	600000005	-0.08157764	0.1309751
500000602	600000006	0.1696393	0.1644016
500000602	600000007	0.1778979	0.2148549
500000602	600000008	-0.05630995	0.2046309
500000602	600000009	-0.1438147	0.2912186
500000602	600000010	1.162723	0.1646031
500000603	600000001	-0.1274499	0.3158653
500000603	600000003	-0.3682409	0.3023795
500000603	600000004	0.677471	0.6961695
500000603	600000005	-0.02333851	0.2409866
500000603	600000006	0.3208041	0.3063714
500000603	600000007	0.2803219	0.4267831
500000603	600000008	0.336878	0.4312235
500000603	600000009	-0.5606183	0.5032986
500000603	600000010	2.468611	0.2913418
500000604	600000001	-0.1274499	0.3158653
500000604	600000003	-0.3682409	0.3023795
500000604	600000004	0.677471	0.6961695
500000604	600000005	-0.02333851	0.2409866
500000604	600000006	0.3208041	0.3063714
500000604	600000007	0.2803219	0.4267831
500000604	600000008	0.336878	0.4312235
500000604	600000009	-0.5606183	0.5032986
500000604	600000010	2.468611	0.2913418
